JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Machine Learning Engineer,Boast Capital,"Montréal, QC",,3 days ago,"Fullstack development of AI features and applications in various areas of the Boast.
Identify appropriate models to be used and improve model accuracy for the…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AmU_6Ck02_vvL6KV9wtnJ-CwUT9JezEHjmUrnh2V-rVbMzR6eF5eAuxg283_suoDSCw3sQyOKtfdsFe82UMrL5WYzM8X7EqqW5IGJ6qZaJw-1DK3eiVa60dnH7dg94AwOzKRqnBZbtCvt56wneU605R8cUy2U79H_8uXa56Qweh043JT2YaQVc6tkdlq7eJmJIE7alNRuwiedJFka2hI5epbfFwKL7pDOY_t9YOf_oMAL7uhf-I6ATRhHojsvR50AOgoLpwYxzI8_nCZCFc3vnSayAnrl85qVvBHXSznpu3GEiqK5PjxPeUlgy0GulJE8EZzMTL43eQDGrjeCnhkeFdHtLg-bMKtDhT7Pgw50igzONeEDmm9U1M3xtFvK7J2HOxzBvuOtjslNS8bqUdpuudoDxbo8JP5PCJ30jsSiMwVJZVctUKCNBVVBlrEWtI6xVyLLKsjvttC6tEUPLpuIkBb9lcI86Gxw_OMc-dsv0y2BTXwf-BF3r&p=0&fvj=0&vjs=3
"Machine Learning Engineer (Canada, Remote)",Diligen,"Toronto, ON","$74,062 - $188,358 a year",2 days ago,"Experience in machine learning techniques for reliable content extraction.
3+ years of professional or academic experience in machine learning.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ajxt_x7qGi4ZTtRN9eg7VEu5IpluJ9NFdX8kiRxuuTAecZpS_szB4MQa_v_oHs2IlJ-yJppc0mP_CkZL8-AFAvl-cnO3hKdagaEynuKomPc53yiy6_kQQX7iOuNk_n6a8oajYC2qEyvFFWMUxTImEnKBGw36lY2jWpxnYcrABTFwZ52q3osgRe78w2yVkPnb3ncYoBeg3E7ZjzVwBQ1PbvXZsNlKOe7uOnWg2bfsY7XFO2yG0gAq4LNOI1iILNICAxJagNw2u7ddgzNPoTnILJE9Bu4AL0yYcoV1wnbXLwVXnyoVXfTfiCyLu36WfVeDet-O4ZQ-9eIWkEcWolW-E3j64KfyrFyv5oxi7EoRb3DfnZJ22gSQ7e6ZCbzWtpq-45K8GdpxQLNaeVsaWVLqeXj4VAtPnZXks3ZAGD7px-wILlcyIzFoWgiEhDqVQdcK-aSjCbqB5nm7JAeq1MuzNpZy91TjqOLIfhpXEnZ8Endigg1-xxaaZm&p=1&fvj=1&vjs=3
Senior Machine Learning Engineer - InSight - OPS,Iron Mountain,Remote,,13 days ago,"The ML engineer works closely with multiple internal Iron Mountain teams to develop tech driven implementation solutions, create/enhance tools for performance…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BSVR9pnHv7AMT6pP8OlXORl0H6Qt8z8pLsQHIKubnox-6fJqxU-qMhmvruir5Vd9SMhkR8ENXiBaELM5hndMGeHGPXRwuNcrv4T9nSr9QFKrxJHU5S5KQ8Y3uIBZlHtbC5CLfR80nYdmvP-mHhopvKUhrIdqTPSUuXBBW4VvQdpy36dJMVZ31eBPzyw0P_8gq0bQJRJIatQNflM3MMPh1ic8L2HuTWt1k6a00NiGgvTLZuQq0zYbUm7I48-lezSCiK-28Wvwb9mmXgVhC7GlL3UWhl4g5o9HFBdZAPAhqMpVGzBkJEAzgwSIijuWZTioCuEuEzpkqMSq55nyq77Oev-V-blo93feQmuia6Lw_1Vt5sZiWYYavPQD3LwPGFc6hJ2dzeUdZmCCTeLNo2YIV83JNSi0XD7nFpcAOMLoWEzPeTWewqotg6_Gv2p1p6sBvji64FPjxorcEu3O_rg9xt5ceH7tpwOeiK8v9qOokLo9StRfRDzt-7nD4pBQbbSHM=&p=2&fvj=1&vjs=3
Jr. Machine Learning Engineer,Niricson Software Inc.,"Vancouver, BC","$50,000 - $60,000 a year",5 days ago,2+ years of industry experience in ML modelling and engineering in applying deep learning in image or signal processing applications.,https://ca.indeed.com/company/Niricson-Software-Inc./jobs/Junior-Machine-Learning-Engineer-8e480e129bb31e35?fccid=bc090c75ee758e0b&vjs=3
"Research Engineer, Vision",Facebook,"Montréal, QC",,30+ days ago,"Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience building systems based on machine learning …",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqIyBJX8RHXUxw_4qBwvAY47rzXNbpjBhCnIbDTNQAZDL88pYUtX_rpOXVXYuAPnp17jG-iB6l_w2yxmluGBqEYkV4J5zJqm5QvEjU6yoD9fhUXuBtOEP8iRVl7FS4OVJAh1L0RWvcZUaqMjUbPKz7Ks27BfMNoP_-NNBwlvqCKVjUnYtm-VvMV8oLpjycmK1nbcumMiUXC7NE0i1mtFTCuryXDBkmhbKsnSSKxH25Fr9_xy6zYD2kNLdrcHx2w6qTTEXTZgY7CpwTMZrNxzfKGYpVr-GvfqKFtwYm43iWmMXxlnvriy-5Tvvw1uxEappOZvfQIHcNOGs2Y7BVO_Par10rlyk1_4mTa5HbQtsKyAW8AlQOo0flM2Qx_8yRWBVi7h4XzwPTc18pSdALtoHmWnIhMhmLqQCUCkOr7X1uyzH-sOOT4BLwwMhdS1b5aZNRuqDGHMl815wYT2QTemRH30r54v7i07QC8SQeM2sMgex_GEVCWRlsnjlPGrIWKdyzSCWm2uoBt_i44QbzhmGH0iqhwa-rl-ALpVaypCuGhsBufPTg4WqkEdGajb7mEQsxdl3N3H6KWcAZQo2uGU-07bQ4fToGNk5SNmp8mMhQfumyN0d5d950xniXxghdo6wO4t0q2dQxNJnaAGNJ-IfL2rywCUMBDtwC3rsIPxjdozUbgcPQoqe7pAH3oBYKH1HGJiVLf6h0y7FBfsrqFJWVWcTom_-3tk6vwLr3bAkojD1r1zJMC6r-s89alFNyLJHlEjUZl_TNzw1DO986sdRhw6J07Z9WKruvO9s3snifXALTaZ0E7fYto8rOK1YokhK3eLxVPjWH9jwS2Sts0QyKiNGxiCfT0vFTmNxSDt1_KLWy-2Y89zeUDXuAGMEfdNIkhk7xR3WDHNFBsbV5c9AHjRpIxfKEdEnAJg0MB_g8RoGuVkWjSIbCWpnqTf1V2TTzIcHEmRQpJ9IRwAP6vEY2UkJs1rWRS_Wuwdn3SxZORXFwzbkhw532v1kTY86oIhqA0PwdM8gq1dFbXfddEWejB0aqirMpNBGeUqSOiz4RIwM=&p=4&fvj=0&vjs=3
Intern – Data Engineer,Rio Tinto,"Montréal, QC",,3 days ago,"Data Science and Data Engineering roles have diverse, multi-industry backgrounds and comprehensive skills in the fields of data modelling, engineering, and…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRuIYpQVIGPNIsttW2YIHiaz2TcgBIwKXfnGtrqPJexB9VJZ65bEzBC1e8fUx6XIAgH0WT8WU1TMXLnhl6yDIdDfKziULFIbvqDkd9Hxxhxj9x4ieMDi7Z58xVyYcVq28wlW5ZMESvWVBldhUYfiRNDPpsK9c1zadvdehfzLui03EieSl_nb-IB1q9jsBayoFPTItnI9BOQ_uKkBx-eVeVzTEmqx8sKFz9oFqLPs_1bj--dheqDiH9-PCQM9q-6HO-k44vcyvQqxxfsU8uCde3Dz9NUubElKMT3BNxDs7LWxaJiEXTYS9DjSfdAkozn5BQ5hqDnKtiNUB8NEmBcdFoCItDSRjUjwOcoPGcdnGlqGdv25N5pXmTrRY3uq2wHMEZNEvkLKl_LGZioljvfjV9VoPt9fiUiV9SLjSizx-8LWaf7LpjOEM5xIX90ZF4woUX5W9_GcvhlrlBZURgLYd_RvW2rdDx9IiWtgo779ozzaGkIgzaolW-wb1YOnOYDyOIkL9zBNIDTg==&p=5&fvj=0&vjs=3
Deep Learning Engineer,NETINT Technologies Inc.,"Burnaby, BC",,4 days ago,"Working with hardware/firmware team to integrate deep learning models into current workflow.
Familiar with a deep learning framework such as TensorFlow, PyTorch…",https://ca.indeed.com/rc/clk?jk=635919356b1e74bb&fccid=f821f8a67da4507b&vjs=3
Machine Learning Engineer,Bio Conscious Technologies Inc,"Vancouver, BC","$70,000 - $119,802 a year",12 days ago,"Experience in supervised and/or unsupervised machine learning.
As a Machine Learning Engineer, you will build and maintain the algorithm for Diabits, our…",https://ca.indeed.com/company/Bio-Conscious-Technologies/jobs/Machine-Learning-Engineer-f3a03ea31837e0f1?fccid=7e50a1022ae3f534&vjs=3
Machine Learning Engineer,Aviva,"Montréal, QC",,11 days ago,"3+ years of applied experience in ML, deep learning and NLP.
Have expert understanding of machine learning and NLP tasks such as classification, feature…",https://ca.indeed.com/rc/clk?jk=9bfc4acc05c257cc&fccid=354f4c12e3c6bd5a&vjs=3
Machine Learning Engineer (Intermediate),Mosaic,Canada,,5 days ago,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwpplGws0eCtCh3_O_xHEipPEkem39p_MiYAglpsMKvHt3GX9WvDlC1I4MlRV4aOzn3jFVuIoBYp2VmM9l1jmTDaAQM5fsZHcknI-acavNYErZTQorXLdLOrrNUyvKAZ47jioWvCiLv96TOl0HmllDosZ0P79vF49Yut0hnZS9a1lPeSzGyZyrNmCmyZjYjCE5YhgIFoU3lf-KZvk_upeqoOu2wxxwj5TrU5TehHaa-wLSSYGHa8TOTu6wKpAw_851lcpXxbud7iKBKAjYEbbC493OU2RdEZwXRhkk6Hd5wAKkR9LNSMYxzaa0qjR4NiN5oJiytYiDX5YPSB3LwmXjOLdYqXqgrBNvzZQu0OzwAhZoADpjBoCmzJnm3VHvg_szQU4uqFgSgOD55CrfvH5lv8icUMhoY7dd1cI8-LLz1yXmStX7aRqIV7dhbE0YG3RsN3ozks9f38dwXcOZrzdY_DLPkhuNoC-q48hoh7P52KsNkP2eLePl&p=9&fvj=1&vjs=3
